country,product,category,price_usd,units_sold,profit_usd,exchange_rate_to_usd,gdp_per_capita,population_millions
India,Smartwatch,Accessories,741.19,379,16955.55,83,2500,1400
UAE,Phone,Electronics,431.05,602,46230.23,3.67,43000,10
India,Headphones,Accessories,752.85,524,44557.15,83,2500,1400
France,Headphones,Accessories,907.03,743,114083.88,0.92,45000,65
Germany,Tablet,Electronics,615.5,405,32802.79,0.92,52000,83
India,Smartwatch,Accessories,634.09,303,56199.42,83,2500,1400
Australia,Tablet,Electronics,541.47,546,35369.88,1.5,55000,26
UK,Headphones,Accessories,637.47,975,64717.38,0.78,48000,67
Canada,Headphones,Accessories,798.47,757,90967.51,1.35,52000,38
Germany,Tablet,Electronics,963.27,119,8835.77,0.92,52000,83
France,Headphones,Accessories,952.41,204,30403.98,0.92,45000,65
UK,Phone,Electronics,168.64,196,9093.92,0.78,48000,67
UAE,Tablet,Electronics,213.66,307,16700.75,3.67,43000,10
Germany,Headphones,Accessories,877.59,676,112309.75,0.92,52000,83
Australia,Tablet,Electronics,224.01,754,37720.9,1.5,55000,26
Australia,Laptop,Electronics,899.32,624,60757.45,1.5,55000,26
Japan,Smartwatch,Accessories,782.44,412,84118.14,150,40000,125
Australia,Tablet,Electronics,707.04,354,71923.96,1.5,55000,26
Australia,Laptop,Electronics,107.46,416,10384.29,1.5,55000,26
France,Headphones,Accessories,377.2,312,18145.36,0.92,45000,65
UK,Phone,Electronics,905.91,716,55844.06,0.78,48000,67
Brazil,Phone,Electronics,867.34,835,82474,5.1,9000,213
Brazil,Smartwatch,Accessories,741.97,641,134177.76,5.1,9000,213
Japan,Phone,Electronics,967.17,892,124390.37,150,40000,125
Germany,Phone,Electronics,738.04,989,40384.39,0.92,52000,83
Canada,Headphones,Accessories,385.97,548,51091.65,1.35,52000,38
Japan,Tablet,Electronics,995.56,426,105133.03,150,40000,125
India,Smartwatch,Accessories,518.39,335,24818.62,83,2500,1400
Japan,Smartwatch,Accessories,687.51,374,22496.75,150,40000,125
Canada,Phone,Electronics,929.92,106,28803.9,1.35,52000,38
Canada,Tablet,Electronics,781.92,989,113966.89,1.35,52000,38
UK,Phone,Electronics,898.45,358,47966.47,0.78,48000,67
Australia,Phone,Electronics,349.85,706,19899.04,1.5,55000,26
UAE,Tablet,Electronics,892.68,493,112565.13,3.67,43000,10
Germany,Headphones,Accessories,735.53,340,14430.64,0.92,52000,83
USA,Headphones,Accessories,976.97,136,20802.91,1,70000,331
Brazil,Laptop,Electronics,409.73,91,10360.95,5.1,9000,213
Japan,Phone,Electronics,981.64,803,102661.83,150,40000,125
Germany,Tablet,Electronics,946.54,722,159695.06,0.92,52000,83
UAE,Phone,Electronics,762.29,62,4709.31,3.67,43000,10
Canada,Headphones,Accessories,248.86,331,24393.11,1.35,52000,38
India,Laptop,Electronics,169.62,143,1474.15,83,2500,1400
India,Headphones,Accessories,92.47,675,18534,83,2500,1400
India,Smartwatch,Accessories,807.74,115,22953.37,83,2500,1400
Germany,Tablet,Electronics,844.97,980,120288.04,0.92,52000,83
USA,Laptop,Electronics,957.36,981,217795.63,1,70000,331
Canada,Tablet,Electronics,872.11,617,108984.03,1.35,52000,38
UAE,Laptop,Electronics,435.09,179,20838.9,3.67,43000,10
UAE,Phone,Electronics,503.15,495,26348.37,3.67,43000,10
Brazil,Headphones,Accessories,707.97,677,65219.59,5.1,9000,213
Australia,Tablet,Electronics,601.9,601,47049.05,1.5,55000,26
USA,Smartwatch,Accessories,825.38,280,21346.18,1,70000,331
UAE,Phone,Electronics,646.4,424,60849.92,3.67,43000,10
Australia,Laptop,Electronics,815.92,881,67747.49,1.5,55000,26
India,Headphones,Accessories,627.68,262,35513.24,83,2500,1400
UAE,Headphones,Accessories,959.73,795,155977.56,3.67,43000,10
India,Headphones,Accessories,387.21,469,49878.96,83,2500,1400
Japan,Tablet,Electronics,486.07,690,78448.3,150,40000,125
UAE,Smartwatch,Accessories,627.07,991,112468.45,3.67,43000,10
France,Laptop,Electronics,518.49,118,8807.2,0.92,45000,65
Germany,Tablet,Electronics,105.44,630,6724.85,0.92,52000,83
USA,Headphones,Accessories,319.44,850,13863.19,1,70000,331
Japan,Laptop,Electronics,924.99,897,216897.85,150,40000,125
France,Laptop,Electronics,666.51,693,47433.45,0.92,45000,65
UAE,Phone,Electronics,125.82,411,9764.27,3.67,43000,10
India,Smartwatch,Accessories,129.39,791,19611.5,83,2500,1400
Japan,Smartwatch,Accessories,642.02,116,21048.27,150,40000,125
Canada,Tablet,Electronics,694.62,461,84722.83,1.35,52000,38
UK,Smartwatch,Accessories,54.52,725,3426.1,0.78,48000,67
UK,Tablet,Electronics,158.43,255,5056.19,0.78,48000,67
Germany,Smartwatch,Accessories,918.85,861,158482.42,0.92,52000,83
India,Laptop,Electronics,359.3,747,28049.37,83,2500,1400
Australia,Headphones,Accessories,770.81,923,151015.93,1.5,55000,26
UK,Tablet,Electronics,476.74,141,10257.35,0.78,48000,67
UK,Smartwatch,Accessories,284.96,675,27733.07,0.78,48000,67
USA,Laptop,Electronics,216.01,273,11262.68,1,70000,331
Germany,Smartwatch,Accessories,602.6,458,71563.28,0.92,52000,83
Canada,Phone,Electronics,832.01,469,99724.82,1.35,52000,38
Germany,Smartwatch,Accessories,205.56,344,4007.19,0.92,52000,83
Brazil,Headphones,Accessories,116.83,483,15762.6,5.1,9000,213
Canada,Laptop,Electronics,297.38,481,16970.42,1.35,52000,38
Germany,Laptop,Electronics,280.49,390,31093.04,0.92,52000,83
Australia,Headphones,Accessories,122.82,644,18564.27,1.5,55000,26
Japan,Laptop,Electronics,687.77,358,17748.31,150,40000,125
Australia,Laptop,Electronics,242.62,199,11972.62,1.5,55000,26
Brazil,Tablet,Electronics,420.74,644,62886.75,5.1,9000,213
UK,Smartwatch,Accessories,716.76,687,91525.98,0.78,48000,67
Japan,Phone,Electronics,672,530,58853.61,150,40000,125
Brazil,Headphones,Accessories,174.45,629,10143.48,5.1,9000,213
Japan,Headphones,Accessories,137.25,99,3138.46,150,40000,125
Brazil,Tablet,Electronics,932.78,984,192390.5,5.1,9000,213
Brazil,Phone,Electronics,50.54,401,3017.29,5.1,9000,213
Brazil,Headphones,Accessories,951.31,927,61621.74,5.1,9000,213
UAE,Laptop,Electronics,88.66,551,6950.59,3.67,43000,10
USA,Tablet,Electronics,621.87,146,17275.96,1,70000,331
UK,Smartwatch,Accessories,586.06,444,72299.97,0.78,48000,67
Brazil,Phone,Electronics,662.6,55,8265.36,5.1,9000,213
Japan,Smartwatch,Accessories,462.28,447,41448.52,150,40000,125
Japan,Laptop,Electronics,360.46,903,93159,150,40000,125
UAE,Phone,Electronics,925.5,310,16309.12,3.67,43000,10
France,Laptop,Electronics,948.73,247,69356.65,0.92,45000,65
Brazil,Laptop,Electronics,750.76,827,45909.81,5.1,9000,213
Brazil,Headphones,Accessories,359.7,347,22015.5,5.1,9000,213
France,Phone,Electronics,470.56,731,82801.84,0.92,45000,65
USA,Laptop,Electronics,883.4,614,113673.04,1,70000,331
UK,Tablet,Electronics,652.1,871,61075.49,0.78,48000,67
Brazil,Tablet,Electronics,905.51,912,74170.3,5.1,9000,213
Germany,Headphones,Accessories,851.06,667,119399.05,0.92,52000,83
Australia,Tablet,Electronics,245.38,864,19106.2,1.5,55000,26
Australia,Smartwatch,Accessories,574.05,682,23541.18,1.5,55000,26
India,Smartwatch,Accessories,171.14,494,24995.96,83,2500,1400
UK,Phone,Electronics,475.65,201,21634.85,0.78,48000,67
Australia,Smartwatch,Accessories,438.27,554,27764.83,1.5,55000,26
Canada,Laptop,Electronics,756.59,132,10097.23,1.35,52000,38
Canada,Headphones,Accessories,389.59,737,32366.2,1.35,52000,38
Australia,Phone,Electronics,148.07,830,22420.33,1.5,55000,26
UAE,Headphones,Accessories,363.58,540,33280.54,3.67,43000,10
India,Phone,Electronics,416,470,20313.81,83,2500,1400
France,Phone,Electronics,878.23,576,69343.21,0.92,45000,65
Brazil,Tablet,Electronics,611.05,62,6593.85,5.1,9000,213
Germany,Tablet,Electronics,913.88,629,88176.97,0.92,52000,83
Australia,Smartwatch,Accessories,604.4,816,78767.23,1.5,55000,26
Germany,Headphones,Accessories,480.67,530,24199.94,0.92,52000,83
UAE,Smartwatch,Accessories,237.46,257,12412.82,3.67,43000,10
UK,Phone,Electronics,99.95,641,7020.8,0.78,48000,67
Brazil,Laptop,Electronics,496.85,54,6788.96,5.1,9000,213
UAE,Tablet,Electronics,68.52,965,5547.68,3.67,43000,10
UAE,Laptop,Electronics,842.4,359,21805.61,3.67,43000,10
Japan,Tablet,Electronics,430.92,305,30985.38,150,40000,125
Canada,Phone,Electronics,735.84,338,45349.42,1.35,52000,38
Australia,Headphones,Accessories,667.34,300,23315.71,1.5,55000,26
UK,Phone,Electronics,54.04,623,7456.05,0.78,48000,67
Australia,Tablet,Electronics,962.61,662,135161.46,1.5,55000,26
Japan,Tablet,Electronics,620.02,432,63435.38,150,40000,125
Germany,Smartwatch,Accessories,425.88,998,30692.41,0.92,52000,83
France,Tablet,Electronics,894.39,580,115845.04,0.92,45000,65
USA,Tablet,Electronics,502.32,850,71149.13,1,70000,331
Canada,Headphones,Accessories,178.77,321,6551.27,1.35,52000,38
Brazil,Smartwatch,Accessories,812.05,292,36253.1,5.1,9000,213
Germany,Laptop,Electronics,751.14,291,25615.58,0.92,52000,83
UK,Phone,Electronics,748.37,496,97689.18,0.78,48000,67
UK,Laptop,Electronics,833.91,961,98580.85,0.78,48000,67
India,Smartwatch,Accessories,522.31,915,36445.56,83,2500,1400
USA,Smartwatch,Accessories,599.58,425,63188.52,1,70000,331
India,Headphones,Accessories,238.91,216,15397.27,83,2500,1400
Canada,Headphones,Accessories,505.99,541,27712.37,1.35,52000,38
Japan,Laptop,Electronics,292.5,102,7519.62,150,40000,125
USA,Laptop,Electronics,763.99,845,140760.95,1,70000,331
Canada,Headphones,Accessories,110.68,719,13285.5,1.35,52000,38
Japan,Laptop,Electronics,942.22,491,35915.49,150,40000,125
USA,Tablet,Electronics,388.37,930,52622.73,1,70000,331
Canada,Phone,Electronics,529.23,466,43954.21,1.35,52000,38
Germany,Laptop,Electronics,274.24,405,32804.76,0.92,52000,83
UK,Headphones,Accessories,585.29,149,19258.55,0.78,48000,67
India,Phone,Electronics,431.63,580,51029.56,83,2500,1400
Canada,Tablet,Electronics,500.93,579,29066.77,1.35,52000,38
Australia,Phone,Electronics,611.13,643,83472.59,1.5,55000,26
France,Tablet,Electronics,250.08,578,28600.25,0.92,45000,65
UAE,Laptop,Electronics,111.9,707,13293.99,3.67,43000,10
France,Tablet,Electronics,951.56,369,91093.89,0.92,45000,65
India,Tablet,Electronics,838.88,905,182465.49,83,2500,1400
Australia,Laptop,Electronics,500.85,241,33098.66,1.5,55000,26
France,Tablet,Electronics,874.29,182,18064.81,0.92,45000,65
UAE,Smartwatch,Accessories,623.64,957,115028.31,3.67,43000,10
France,Tablet,Electronics,446.23,480,35978.78,0.92,45000,65
Brazil,Laptop,Electronics,712.83,446,76428.54,5.1,9000,213
India,Headphones,Accessories,228.83,946,33199.58,83,2500,1400
USA,Headphones,Accessories,754.26,53,11874.26,1,70000,331
Germany,Laptop,Electronics,572.26,593,48789,0.92,52000,83
USA,Smartwatch,Accessories,562.65,262,23662.79,1,70000,331
Germany,Laptop,Electronics,767.19,974,178357.78,0.92,52000,83
Canada,Headphones,Accessories,523.31,724,43191.37,1.35,52000,38
Brazil,Phone,Electronics,267.2,207,7251.49,5.1,9000,213
Japan,Smartwatch,Accessories,357.44,245,25673.53,150,40000,125
Canada,Laptop,Electronics,278.36,361,9953.58,1.35,52000,38
Canada,Smartwatch,Accessories,385.94,739,40568.97,1.35,52000,38
India,Tablet,Electronics,703.15,481,52482.17,83,2500,1400
UAE,Laptop,Electronics,914.14,56,12308.35,3.67,43000,10
UK,Laptop,Electronics,886.89,84,14153.08,0.78,48000,67
Germany,Laptop,Electronics,962,271,66313.59,0.92,52000,83
Germany,Headphones,Accessories,230.08,864,14564.35,0.92,52000,83
Japan,Tablet,Electronics,850.41,191,9297.5,150,40000,125
Canada,Phone,Electronics,914.13,863,54044.43,1.35,52000,38
Japan,Laptop,Electronics,849.82,170,29059.45,150,40000,125
Canada,Laptop,Electronics,135.51,417,6205.27,1.35,52000,38
Canada,Phone,Electronics,190.57,547,22429.89,1.35,52000,38
UAE,Laptop,Electronics,173.56,78,1781.81,3.67,43000,10
Canada,Laptop,Electronics,633.59,962,137996.6,1.35,52000,38
India,Laptop,Electronics,811.47,181,18884.96,83,2500,1400
Brazil,Tablet,Electronics,509.42,76,4883.75,5.1,9000,213
Japan,Laptop,Electronics,563.04,54,4148.98,150,40000,125
Japan,Smartwatch,Accessories,143.62,670,8179.14,150,40000,125
Canada,Smartwatch,Accessories,882.82,976,209298.81,1.35,52000,38
USA,Laptop,Electronics,724.01,933,91033.19,1,70000,331
Canada,Phone,Electronics,58.88,733,4610.3,1.35,52000,38
Australia,Laptop,Electronics,505.51,504,14402.76,1.5,55000,26
USA,Laptop,Electronics,264.33,77,2430.37,1,70000,331
Australia,Tablet,Electronics,374.38,518,36869.34,1.5,55000,26
Canada,Tablet,Electronics,161.27,961,11729.38,1.35,52000,38
USA,Smartwatch,Accessories,899.56,177,22735,1,70000,331
Australia,Headphones,Accessories,971.97,117,10713.59,1.5,55000,26
UAE,Smartwatch,Accessories,462.87,321,30966.08,3.67,43000,10
France,Smartwatch,Accessories,89.07,86,1057.79,0.92,45000,65
France,Laptop,Electronics,167.64,820,8033.67,0.92,45000,65
Australia,Phone,Electronics,227.1,801,39302,1.5,55000,26
USA,Tablet,Electronics,165.8,142,5872.52,1,70000,331
UK,Tablet,Electronics,709.01,300,37536.92,0.78,48000,67
France,Tablet,Electronics,435.43,620,18757.1,0.92,45000,65
France,Smartwatch,Accessories,87.79,217,1047.42,0.92,45000,65
UK,Smartwatch,Accessories,351.96,749,15790.52,0.78,48000,67
Germany,Smartwatch,Accessories,327.59,317,29554.63,0.92,52000,83
Brazil,Smartwatch,Accessories,253.82,966,67265.19,5.1,9000,213
Japan,Tablet,Electronics,95.81,907,24706.36,150,40000,125
UAE,Smartwatch,Accessories,88.65,624,5780.27,3.67,43000,10
Australia,Headphones,Accessories,356.89,323,22260.1,1.5,55000,26
USA,Headphones,Accessories,817.72,757,118853.33,1,70000,331
India,Phone,Electronics,633.28,244,9420.78,83,2500,1400
India,Tablet,Electronics,768.49,581,113214.02,83,2500,1400
USA,Laptop,Electronics,283.01,326,23305.35,1,70000,331
Australia,Headphones,Accessories,131.46,794,13203.96,1.5,55000,26
UAE,Headphones,Accessories,643.85,663,83309.69,3.67,43000,10
USA,Smartwatch,Accessories,783.75,77,3458.8,1,70000,331
India,Laptop,Electronics,390.72,392,35948.96,83,2500,1400
UAE,Smartwatch,Accessories,309.96,598,23363.2,3.67,43000,10
France,Headphones,Accessories,704.37,809,166305.97,0.92,45000,65
Canada,Phone,Electronics,562.42,560,40830.49,1.35,52000,38
USA,Smartwatch,Accessories,954.72,958,94751.56,1,70000,331
Canada,Smartwatch,Accessories,475.36,274,13902.42,1.35,52000,38
Japan,Smartwatch,Accessories,391.74,424,9756.72,150,40000,125
Japan,Smartwatch,Accessories,282.05,100,3530.66,150,40000,125
UK,Tablet,Electronics,464.03,559,17866.8,0.78,48000,67
Germany,Laptop,Electronics,370.8,320,6671.21,0.92,52000,83
India,Phone,Electronics,53.73,910,11401.01,83,2500,1400
Australia,Headphones,Accessories,154.85,694,22872.2,1.5,55000,26
Japan,Smartwatch,Accessories,679.77,494,27307.04,150,40000,125
UK,Phone,Electronics,860.35,81,8930.67,0.78,48000,67
Brazil,Headphones,Accessories,602.79,727,25405.19,5.1,9000,213
USA,Smartwatch,Accessories,402.4,740,43865.45,1,70000,331
UAE,Laptop,Electronics,58.37,134,783.12,3.67,43000,10
France,Phone,Electronics,429.05,269,19580.1,0.92,45000,65
Japan,Smartwatch,Accessories,197.3,871,10321.91,150,40000,125
Japan,Phone,Electronics,747.13,514,90057.43,150,40000,125
UK,Headphones,Accessories,991.73,543,138661.04,0.78,48000,67
UAE,Laptop,Electronics,796.97,696,131306.16,3.67,43000,10
Germany,Phone,Electronics,753.15,303,29637.51,0.92,52000,83
USA,Smartwatch,Accessories,904.84,867,97562.53,1,70000,331
Brazil,Tablet,Electronics,397.1,352,38181.05,5.1,9000,213
France,Laptop,Electronics,97.98,904,16416.99,0.92,45000,65
UK,Phone,Electronics,164.9,451,19047.84,0.78,48000,67
Japan,Tablet,Electronics,574.82,74,11470.88,150,40000,125
France,Laptop,Electronics,99.56,686,10322.9,0.92,45000,65
India,Tablet,Electronics,513.18,368,53114.34,83,2500,1400
UAE,Tablet,Electronics,125.81,75,2114.2,3.67,43000,10
Germany,Phone,Electronics,741.4,441,25553.32,0.92,52000,83
India,Laptop,Electronics,79.01,518,10062.68,83,2500,1400
France,Smartwatch,Accessories,821.25,884,92675.51,0.92,45000,65
France,Laptop,Electronics,960.55,69,18320.66,0.92,45000,65
Canada,Tablet,Electronics,818.3,842,205438.44,1.35,52000,38
Brazil,Laptop,Electronics,519.78,57,6904.11,5.1,9000,213
Canada,Headphones,Accessories,697.79,208,9877.26,1.35,52000,38
India,Headphones,Accessories,695.54,521,94861.88,83,2500,1400
Australia,Tablet,Electronics,563.29,376,62417.26,1.5,55000,26
Australia,Smartwatch,Accessories,948.1,733,100549.52,1.5,55000,26
Canada,Laptop,Electronics,214.51,78,3466.32,1.35,52000,38
France,Laptop,Electronics,578.28,218,7399.55,0.92,45000,65
Brazil,Headphones,Accessories,385.98,362,32523.25,5.1,9000,213
UK,Laptop,Electronics,762.83,50,3299.44,0.78,48000,67
Germany,Tablet,Electronics,128.95,809,9787.04,0.92,52000,83
Germany,Smartwatch,Accessories,762.9,631,138823,0.92,52000,83
Japan,Smartwatch,Accessories,382.98,999,32260.47,150,40000,125
India,Phone,Electronics,341.6,197,19883.35,83,2500,1400
Canada,Headphones,Accessories,228.17,670,27318.44,1.35,52000,38
Japan,Phone,Electronics,665.56,410,71326.12,150,40000,125
Australia,Smartwatch,Accessories,351.44,777,34581.47,1.5,55000,26
Canada,Laptop,Electronics,504.2,218,8035.95,1.35,52000,38
Canada,Phone,Electronics,476.69,800,55675.87,1.35,52000,38
UAE,Headphones,Accessories,289.28,417,34701.62,3.67,43000,10
USA,Tablet,Electronics,492.85,904,95684.28,1,70000,331
Canada,Smartwatch,Accessories,111.86,791,15818.1,1.35,52000,38
Japan,Laptop,Electronics,311.01,232,7114.54,150,40000,125
India,Phone,Electronics,362.91,894,53201.61,83,2500,1400
USA,Tablet,Electronics,849.75,320,22787.37,1,70000,331
Australia,Laptop,Electronics,875.8,956,96484.25,1.5,55000,26
USA,Smartwatch,Accessories,639.77,539,75972.45,1,70000,331
France,Laptop,Electronics,630.7,235,20593.46,0.92,45000,65
UAE,Phone,Electronics,589.02,772,31744.79,3.67,43000,10
Germany,Tablet,Electronics,887.96,621,143379.43,0.92,52000,83
UK,Smartwatch,Accessories,979.31,236,24711.82,0.78,48000,67
Australia,Headphones,Accessories,896.21,305,26882.76,1.5,55000,26
Brazil,Headphones,Accessories,209.09,757,43117.56,5.1,9000,213
Brazil,Phone,Electronics,655.43,377,37132.39,5.1,9000,213
USA,Smartwatch,Accessories,798.82,227,29075.25,1,70000,331
UAE,Tablet,Electronics,590.07,673,25789.18,3.67,43000,10
Brazil,Phone,Electronics,968.76,314,39650.73,5.1,9000,213
Australia,Tablet,Electronics,168.26,603,13862.47,1.5,55000,26
USA,Tablet,Electronics,137.77,631,24675.52,1,70000,331
Australia,Laptop,Electronics,818.21,316,40901.59,1.5,55000,26
Canada,Phone,Electronics,291.34,348,28054.56,1.35,52000,38
Canada,Phone,Electronics,209.71,630,22627.09,1.35,52000,38
UAE,Laptop,Electronics,809.26,987,98862.91,3.67,43000,10
Australia,Headphones,Accessories,682.87,622,32799.51,1.5,55000,26
USA,Tablet,Electronics,402.33,626,60071.92,1,70000,331
Canada,Laptop,Electronics,196.58,704,28117.04,1.35,52000,38
Australia,Laptop,Electronics,185.27,827,12130.25,1.5,55000,26
India,Laptop,Electronics,995.12,671,64247.39,83,2500,1400
Australia,Smartwatch,Accessories,401.76,735,41772.56,1.5,55000,26
France,Tablet,Electronics,453,77,5793.57,0.92,45000,65
France,Tablet,Electronics,619.28,600,67125.87,0.92,45000,65
France,Smartwatch,Accessories,82.67,883,8051.49,0.92,45000,65
France,Headphones,Accessories,703.96,445,41068.41,0.92,45000,65
Canada,Tablet,Electronics,203.55,733,37617.73,1.35,52000,38
India,Phone,Electronics,140.32,557,13764.06,83,2500,1400
France,Phone,Electronics,541.55,122,4329.27,0.92,45000,65
USA,Laptop,Electronics,630.36,639,31425.73,1,70000,331
USA,Laptop,Electronics,681.11,364,74280.95,1,70000,331
USA,Tablet,Electronics,713.11,256,18152.28,1,70000,331
UAE,Laptop,Electronics,109.35,225,1824.38,3.67,43000,10
Germany,Tablet,Electronics,889.61,716,108192.88,0.92,52000,83
India,Headphones,Accessories,711.63,375,66691.09,83,2500,1400
Canada,Phone,Electronics,507.87,200,16359.29,1.35,52000,38
Canada,Tablet,Electronics,639.78,901,70189.74,1.35,52000,38
Brazil,Laptop,Electronics,97.97,961,28182.58,5.1,9000,213
USA,Laptop,Electronics,114.03,154,3600.18,1,70000,331
Canada,Headphones,Accessories,160.75,519,18610.6,1.35,52000,38
Australia,Laptop,Electronics,328.61,412,32542.76,1.5,55000,26
Germany,Headphones,Accessories,596.36,608,59113.31,0.92,52000,83
UAE,Laptop,Electronics,824.6,339,45051.1,3.67,43000,10
France,Smartwatch,Accessories,864.77,579,79182.9,0.92,45000,65
UK,Laptop,Electronics,63.44,421,1655.14,0.78,48000,67
India,Laptop,Electronics,283.55,626,25970.5,83,2500,1400
Australia,Smartwatch,Accessories,60.34,194,3227.55,1.5,55000,26
USA,Headphones,Accessories,134.34,263,4378.18,1,70000,331
UAE,Laptop,Electronics,511.23,804,54054.86,3.67,43000,10
USA,Laptop,Electronics,925.93,919,250087.12,1,70000,331
France,Phone,Electronics,589.14,78,4649.58,0.92,45000,65
Australia,Laptop,Electronics,835.05,656,87483.98,1.5,55000,26
Germany,Tablet,Electronics,960.38,52,14404.11,0.92,52000,83
